# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-05-01T00:00:00.0
# Date end (ISO 8601): 2024-06-01T00:00:00.0
# Latitude (positive North, ISO 19115): 49.7450
# Longitude (positive East, ISO 19115): 13.3710
# Altitude (m): 310.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-04-30
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-05-01T00:00:00.0/2023-06-01T00:00:00.0;331371.5000;239036.8906;179614.1719;59422.7188;285011.8125;170327.5938;87124.7656;83202.8359;138715.0469;0.9753
2023-06-01T00:00:00.0/2023-07-01T00:00:00.0;345273.9688;243364.9531;175290.5625;68074.3906;265245.6875;185784.4688;102083.5938;83700.8828;155969.0938;0.9746
2023-07-01T00:00:00.0/2023-08-01T00:00:00.0;343045.9062;244531.7031;178460.5156;66071.1797;278476.4688;183224.0156;96543.2031;86680.8047;151337.4062;0.9742
2023-08-01T00:00:00.0/2023-09-01T00:00:00.0;294308.4688;209546.4688;157042.5781;52503.8789;264296.5625;139679.0469;73997.5625;65681.4766;125150.1484;0.9777
2023-09-01T00:00:00.0/2023-10-01T00:00:00.0;217755.0938;156305.9375;123219.9219;33086.0078;245347.8906;127060.7969;84842.1094;42218.6836;169555.4844;0.9787
2023-10-01T00:00:00.0/2023-11-01T00:00:00.0;151430.0469;104588.0781;80613.2969;23974.7852;205996.0938;68203.8984;32218.1133;35985.7852;84183.4766;0.9774
2023-11-01T00:00:00.0/2023-12-01T00:00:00.0;90355.9219;61112.7383;47232.2773;13880.4619;168501.3906;32066.8906;11892.4561;20174.4336;47067.0742;0.9752
2023-12-01T00:00:00.0/2024-01-01T00:00:00.0;67491.1250;43788.1797;32744.5430;11043.6367;145936.3438;20881.0859;7449.2041;13431.8818;36330.7773;0.9715
2024-01-01T00:00:00.0/2024-02-01T00:00:00.0;80629.6562;53749.6797;40700.2656;13049.4111;162095.0156;29533.1582;11827.6055;17705.5508;50162.0938;0.9737
2024-02-01T00:00:00.0/2024-03-01T00:00:00.0;120892.9297;82877.7031;61953.6836;20924.0215;178278.8594;36563.6758;9290.6211;27273.0527;30122.8535;0.9761
2024-03-01T00:00:00.0/2024-04-01T00:00:00.0;200846.2969;143354.9688;108040.3828;35314.5859;231774.9531;88581.5156;34400.4492;54181.0664;76057.3359;0.9781
2024-04-01T00:00:00.0/2024-05-01T00:00:00.0;266770.6562;193364.0781;147122.5000;46241.5742;260632.0625;130696.2109;57726.0156;72970.1953;103294.8906;0.9750
2024-05-01T00:00:00.0/2024-06-01T00:00:00.0;332439.7188;241636.7969;183667.8281;57968.9688;295037.5625;152164.9688;73112.0156;79052.9531;120433.6016;0.9748
